# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
22.2645	26.013977	22.279313	19.959105	22.294125	1.477096	22.308937	11.658071	22.32375	19.971313	22.338563	12.805567	22.353375	12.97647	22.368187	4.79751	0.170904	0.183111	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
22.3835	26.026185	22.398313	19.971313	22.413125	1.501511	22.427937	11.633656	22.44275	19.98352	22.457563	12.805567	22.472375	12.97647	22.487187	4.79751	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
22.502375	26.0506	22.517203	19.971313	22.532031	1.489303	22.546859	11.645863	22.561687	19.971313	22.576516	12.829981	22.591344	12.97647	22.606172	4.79751	0.183111	0.183111	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
22.6215	26.038392	22.636328	19.971313	22.651156	1.477096	22.665984	11.621448	22.680813	19.98352	22.695641	12.805567	22.710469	12.988678	22.725297	4.79751	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
22.7405	26.00177	22.755344	19.959105	22.770187	1.489303	22.785031	11.621448	22.799875	19.971313	22.814719	12.829981	22.829563	13.037507	22.844406	4.79751	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
22.859625	26.038392	22.874437	19.98352	22.88925	1.489303	22.904063	11.621448	22.918875	19.995727	22.933687	12.829981	22.9485	13.013092	22.963313	4.809717	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
22.978625	26.075014	22.993453	19.995727	23.008281	1.489303	23.023109	11.645863	23.037937	19.995727	23.052766	12.842189	23.067594	13.013092	23.082422	4.809717	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
23.097625	26.075014	23.112453	19.98352	23.127281	1.477096	23.142109	11.633656	23.156937	20.007935	23.171766	12.829981	23.186594	13.013092	23.201422	4.79751	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
23.216625	26.111637	23.231453	20.007935	23.246281	1.477096	23.261109	11.633656	23.275937	19.995727	23.290766	12.854396	23.305594	13.013092	23.320422	4.809717	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
23.335625	26.123844	23.350453	20.020142	23.365281	1.489303	23.380109	11.621448	23.394937	20.020142	23.409766	12.842189	23.424594	13.000885	23.439422	4.809717	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
23.45475	26.160466	23.469563	20.007935	23.484375	1.489303	23.499188	11.621448	23.514	19.995727	23.528813	12.842189	23.543625	13.000885	23.558438	4.809717	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
23.57375	26.123844	23.588578	19.971313	23.603406	1.477096	23.618234	11.633656	23.633063	20.007935	23.647891	12.842189	23.662719	13.000885	23.677547	4.809717	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
23.69275	26.099429	23.707578	19.971313	23.722406	1.477096	23.737234	11.633656	23.752063	20.020142	23.766891	12.854396	23.781719	13.000885	23.796547	4.79751	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.219733	0.207526	31.1
23.81175	26.087222	23.826594	19.995727	23.841437	1.489303	23.856281	11.633656	23.871125	20.020142	23.885969	12.854396	23.900813	12.97647	23.915656	4.809717	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
23.930875	26.111637	23.945703	19.98352	23.960531	1.489303	23.975359	11.645863	23.990187	20.007935	24.005016	12.854396	24.019844	12.97647	24.034672	4.809717	0.170904	0.183111	0.122074	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
24.049875	26.075014	24.064688	19.959105	24.0795	1.477096	24.094313	11.658071	24.109125	20.020142	24.123938	12.842189	24.13875	13.000885	24.153562	4.809717	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
24.168875	26.0506	24.183703	19.922483	24.198531	1.489303	24.213359	11.682485	24.228188	20.03235	24.243016	12.854396	24.257844	13.000885	24.272672	4.809717	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
24.288	26.0506	24.302844	19.946898	24.317687	1.464888	24.332531	11.670278	24.347375	20.020142	24.362219	12.842189	24.377063	13.000885	24.391906	4.79751	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
24.407125	26.026185	24.421953	19.93469	24.436781	1.489303	24.451609	11.658071	24.466437	20.020142	24.481266	12.866604	24.496094	13.000885	24.510922	4.809717	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
24.526125	26.026185	24.540969	19.93469	24.555813	1.489303	24.570656	11.633656	24.5855	20.020142	24.600344	12.854396	24.615187	13.013092	24.630031	4.809717	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
24.645375	26.038392	24.660187	19.93469	24.675	1.477096	24.689813	11.645863	24.704625	20.020142	24.719437	12.854396	24.73425	13.037507	24.749063	4.809717	0.183111	0.170904	0.122074	0.122074	0.219733	0.207526	0.195318	0.207526	31.1
24.764375	26.062807	24.779203	19.922483	24.794031	1.477096	24.808859	11.621448	24.823687	20.056764	24.838516	12.866604	24.853344	13.0253	24.868172	4.809717	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
24.883375	26.062807	24.898219	19.93469	24.913063	1.489303	24.927906	11.658071	24.94275	20.03235	24.957594	12.866604	24.972437	13.0253	24.987281	4.809717	0.183111	0.183111	0.122074	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
25.0025	26.0506	25.017313	19.922483	25.032125	1.477096	25.046937	11.658071	25.06175	20.068972	25.076563	12.878811	25.091375	13.0253	25.106187	4.809717	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
25.121375	26.075014	25.136203	19.910276	25.151031	1.477096	25.165859	11.645863	25.180687	20.081179	25.195516	12.891018	25.210344	13.013092	25.225172	4.79751	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
25.240375	26.099429	25.255203	19.922483	25.270031	1.464888	25.284859	11.645863	25.299688	20.056764	25.314516	12.891018	25.329344	13.000885	25.344172	4.79751	0.183111	0.183111	0.134281	0.122074	0.219733	0.207526	0.195318	0.207526	31.1
25.3595	26.148259	25.374344	19.93469	25.389187	1.489303	25.404031	11.645863	25.418875	20.056764	25.433719	12.891018	25.448563	13.049715	25.463406	4.821924	0.170904	0.158696	0.122074	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
25.478625	26.160466	25.493453	19.93469	25.508281	1.489303	25.523109	11.658071	25.537937	20.081179	25.552766	12.891018	25.567594	13.0253	25.582422	4.821924	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
25.59775	26.172674	25.612563	19.959105	25.627375	1.489303	25.642187	11.670278	25.657	20.044557	25.671813	12.891018	25.686625	13.037507	25.701437	4.821924	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
25.71675	26.172674	25.731563	19.959105	25.746375	1.489303	25.761187	11.670278	25.776	20.068972	25.790813	12.891018	25.805625	13.074129	25.820437	4.821924	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
25.83575	26.123844	25.850578	19.946898	25.865406	1.489303	25.880234	11.645863	25.895063	20.056764	25.909891	12.878811	25.924719	13.061922	25.939547	4.809717	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
25.954875	26.099429	25.969703	19.946898	25.984531	1.489303	25.999359	11.658071	26.014187	20.068972	26.029016	12.878811	26.043844	13.037507	26.058672	4.821924	0.183111	0.170904	0.134281	0.122074	0.219733	0.207526	0.207526	0.195318	31.1
26.074	26.111637	26.088828	19.946898	26.103656	1.477096	26.118484	11.670278	26.133313	20.044557	26.148141	12.878811	26.162969	13.037507	26.177797	4.821924	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
26.193125	26.099429	26.207937	19.922483	26.22275	1.489303	26.237562	11.670278	26.252375	20.044557	26.267187	12.878811	26.282	13.049715	26.296812	4.821924	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.195318	0.207526	31.1
26.312125	26.099429	26.326953	19.93469	26.341781	1.489303	26.356609	11.670278	26.371437	20.068972	26.386266	12.891018	26.401094	13.037507	26.415922	4.834132	0.170904	0.183111	0.122074	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
26.43125	26.075014	26.446094	19.946898	26.460938	1.489303	26.475781	11.670278	26.490625	20.105594	26.505469	12.891018	26.520312	13.049715	26.535156	4.821924	0.170904	0.183111	0.134281	0.122074	0.207526	0.207526	0.207526	0.195318	31.1
26.5505	26.062807	26.565313	19.946898	26.580125	1.477096	26.594938	11.658071	26.60975	20.068972	26.624562	12.915433	26.639375	13.049715	26.654187	4.821924	0.170904	0.183111	0.122074	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
26.6695	26.087222	26.684328	19.946898	26.699156	1.501511	26.713984	11.670278	26.728813	20.056764	26.743641	12.903226	26.758469	13.049715	26.773297	4.821924	0.170904	0.170904	0.122074	0.122074	0.207526	0.219733	0.207526	0.207526	31.1
26.788625	26.087222	26.803438	19.922483	26.81825	1.489303	26.833063	11.670278	26.847875	20.044557	26.862687	12.915433	26.8775	13.061922	26.892312	4.821924	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
26.907625	26.075014	26.922453	19.93469	26.937281	1.477096	26.952109	11.658071	26.966938	20.056764	26.981766	12.891018	26.996594	13.037507	27.011422	4.809717	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
27.02675	26.099429	27.041563	19.946898	27.056375	1.489303	27.071188	11.682485	27.086	20.044557	27.100812	12.891018	27.115625	13.061922	27.130437	4.821924	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
27.14575	26.123844	27.160563	19.93469	27.175375	1.489303	27.190188	11.670278	27.205	20.056764	27.219812	12.891018	27.234625	13.049715	27.249437	4.821924	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
27.264625	26.099429	27.279453	19.93469	27.294281	1.489303	27.309109	11.682485	27.323937	20.03235	27.338766	12.903226	27.353594	13.0253	27.368422	4.821924	0.183111	0.183111	0.122074	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
27.38375	26.136052	27.398563	19.946898	27.413375	1.489303	27.428187	11.670278	27.443	20.081179	27.457812	12.915433	27.472625	13.049715	27.487437	4.809717	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
27.50275	26.160466	27.517578	19.971313	27.532406	1.489303	27.547234	11.682485	27.562062	20.117801	27.576891	12.927641	27.591719	13.037507	27.606547	4.821924	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
27.621875	26.160466	27.636688	19.971313	27.6515	1.489303	27.666313	11.682485	27.681125	20.105594	27.695937	12.927641	27.71075	13.049715	27.725562	4.821924	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
27.740875	26.123844	27.755703	19.971313	27.770531	1.489303	27.785359	11.682485	27.800187	20.056764	27.815016	12.915433	27.829844	13.049715	27.844672	4.834132	0.183111	0.170904	0.134281	0.122074	0.207526	0.219733	0.207526	0.195318	31.1
27.86	26.136052	27.874813	19.971313	27.889625	1.477096	27.904438	11.682485	27.91925	20.081179	27.934062	12.915433	27.948875	13.0253	27.963687	4.821924	0.170904	0.170904	0.134281	0.146489	0.207526	0.207526	0.195318	0.195318	31.1
27.978875	26.136052	27.993703	19.971313	28.008531	1.477096	28.023359	11.682485	28.038187	20.093387	28.053016	12.915433	28.067844	13.013092	28.082672	4.809717	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
28.098	26.123844	28.112813	19.93469	28.127625	1.489303	28.142437	11.694693	28.15725	20.105594	28.172062	12.915433	28.186875	13.0253	28.201687	4.821924	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
28.217	26.136052	28.231828	19.946898	28.246656	1.477096	28.261484	11.682485	28.276312	20.130009	28.291141	12.915433	28.305969	13.049715	28.320797	4.821924	0.170904	0.170904	0.134281	0.134281	0.219733	0.219733	0.195318	0.207526	31.1
28.336	26.123844	28.350828	19.93469	28.365656	1.489303	28.380484	11.670278	28.395312	20.081179	28.410141	12.915433	28.424969	13.037507	28.439797	4.821924	0.183111	0.183111	0.146489	0.122074	0.207526	0.219733	0.195318	0.195318	31.1
28.455125	26.123844	28.469938	19.946898	28.48475	1.489303	28.499562	11.682485	28.514375	20.056764	28.529187	12.927641	28.544	13.037507	28.558812	4.834132	0.170904	0.183111	0.122074	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
28.574125	26.099429	28.588953	19.959105	28.603781	1.489303	28.618609	11.670278	28.633437	20.068972	28.648266	12.915433	28.663094	13.074129	28.677922	4.821924	0.170904	0.170904	0.134281	0.134281	0.219733	0.219733	0.207526	0.207526	31.1
28.69325	26.111637	28.708094	19.971313	28.722938	1.489303	28.737781	11.658071	28.752625	20.068972	28.767469	12.927641	28.782312	13.074129	28.797156	4.846339	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
28.812375	26.148259	28.827203	19.959105	28.842031	1.489303	28.856859	11.658071	28.871688	20.056764	28.886516	12.915433	28.901344	13.086337	28.916172	4.821924	0.170904	0.170904	0.134281	0.134281	0.195318	0.207526	0.207526	0.195318	31.1
28.9315	26.136052	28.946328	19.959105	28.961156	1.489303	28.975984	11.682485	28.990813	20.068972	29.005641	12.915433	29.020469	13.049715	29.035297	4.834132	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
29.050625	26.123844	29.065438	19.93469	29.08025	1.489303	29.095063	11.670278	29.109875	20.081179	29.124688	12.915433	29.1395	13.037507	29.154312	4.821924	0.170904	0.183111	0.122074	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
29.169625	26.148259	29.184469	19.93469	29.199312	1.489303	29.214156	11.682485	29.229	20.105594	29.243844	12.915433	29.258688	13.049715	29.273531	4.834132	0.183111	0.183111	0.134281	0.146489	0.207526	0.207526	0.207526	0.195318	31.1
29.288875	26.123844	29.303688	19.922483	29.3185	1.477096	29.333312	11.670278	29.348125	20.105594	29.362938	12.939848	29.37775	13.074129	29.392562	4.821924	0.170904	0.183111	0.134281	0.146489	0.207526	0.207526	0.195318	0.195318	31.1
29.40775	26.148259	29.422578	19.946898	29.437406	1.477096	29.452234	11.682485	29.467063	20.117801	29.481891	12.927641	29.496719	13.074129	29.511547	4.821924	0.183111	0.183111	0.134281	0.134281	0.219733	0.219733	0.207526	0.207526	31.1
29.526875	26.209296	29.541703	19.959105	29.556531	1.489303	29.571359	11.670278	29.586188	20.117801	29.601016	12.952055	29.615844	13.074129	29.630672	4.821924	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
29.645875	26.209296	29.660719	19.959105	29.675562	1.489303	29.690406	11.694693	29.70525	20.105594	29.720094	12.939848	29.734938	13.086337	29.749781	4.834132	0.183111	0.170904	0.122074	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
29.765	26.209296	29.779844	19.971313	29.794688	1.489303	29.809531	11.694693	29.824375	20.093387	29.839219	12.939848	29.854062	13.098544	29.868906	4.834132	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
29.884125	26.184881	29.898938	19.971313	29.91375	1.477096	29.928562	11.694693	29.943375	20.105594	29.958188	12.927641	29.973	13.049715	29.987812	4.834132	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
30.003125	26.197089	30.017953	19.971313	30.032781	1.489303	30.047609	11.682485	30.062438	20.093387	30.077266	12.927641	30.092094	13.061922	30.106922	4.846339	0.170904	0.183111	0.134281	0.122074	0.219733	0.207526	0.195318	0.207526	31.1
30.122125	26.184881	30.136953	19.971313	30.151781	1.489303	30.166609	11.694693	30.181438	20.093387	30.196266	12.915433	30.211094	13.049715	30.225922	4.821924	0.183111	0.170904	0.134281	0.122074	0.207526	0.219733	0.195318	0.207526	31.1
30.24125	26.184881	30.256094	19.98352	30.270938	1.477096	30.285781	11.7069	30.300625	20.081179	30.315469	12.927641	30.330312	13.061922	30.345156	4.821924	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
30.360375	26.172674	30.375203	19.959105	30.390031	1.477096	30.404859	11.7069	30.419688	20.105594	30.434516	12.939848	30.449344	13.061922	30.464172	4.834132	0.170904	0.170904	0.122074	0.134281	0.219733	0.219733	0.195318	0.207526	31.1
30.479375	26.172674	30.494219	19.959105	30.509062	1.489303	30.523906	11.7069	30.53875	20.117801	30.553594	12.952055	30.568438	13.061922	30.583281	4.821924	0.170904	0.170904	0.134281	0.122074	0.207526	0.207526	0.207526	0.195318	31.1
30.5985	26.160466	30.613328	19.959105	30.628156	1.489303	30.642984	11.694693	30.657812	20.093387	30.672641	12.939848	30.687469	13.037507	30.702297	4.834132	0.170904	0.170904	0.146489	0.122074	0.207526	0.207526	0.195318	0.207526	31.1
30.7175	26.148259	30.732344	19.959105	30.747188	1.489303	30.762031	11.694693	30.776875	20.117801	30.791719	12.939848	30.806562	13.061922	30.821406	4.821924	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
30.836625	26.172674	30.851453	19.995727	30.866281	1.477096	30.881109	11.694693	30.895938	20.117801	30.910766	12.952055	30.925594	13.074129	30.940422	4.846339	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
30.95575	26.184881	30.970578	19.971313	30.985406	1.489303	31.000234	11.694693	31.015062	20.117801	31.029891	12.97647	31.044719	13.049715	31.059547	4.846339	0.183111	0.183111	0.122074	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
31.07475	26.160466	31.089578	19.971313	31.104406	1.477096	31.119234	11.694693	31.134062	20.130009	31.148891	12.964263	31.163719	13.037507	31.178547	4.846339	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
31.19375	26.209296	31.208578	20.252083	31.223406	1.489303	31.238234	11.7069	31.253062	20.154424	31.267891	12.964263	31.282719	13.074129	31.297547	4.834132	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
31.312875	26.245918	31.327703	20.26429	31.342531	1.489303	31.357359	11.719108	31.372187	20.142216	31.387016	12.964263	31.401844	13.061922	31.416672	4.834132	0.170904	0.170904	0.122074	0.122074	0.207526	0.195318	0.207526	0.195318	31.1
31.432	26.245918	31.446813	20.068972	31.461625	1.489303	31.476437	11.694693	31.49125	20.154424	31.506062	12.97647	31.520875	13.061922	31.535687	4.834132	0.183111	0.183111	0.134281	0.122074	0.207526	0.219733	0.195318	0.207526	31.1
31.550875	26.233711	31.565703	19.959105	31.580531	1.477096	31.595359	11.7069	31.610188	20.142216	31.625016	12.952055	31.639844	13.074129	31.654672	4.834132	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
31.669875	26.221503	31.684703	19.98352	31.699531	1.477096	31.714359	11.694693	31.729188	20.130009	31.744016	12.952055	31.758844	13.086337	31.773672	4.834132	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
31.788875	26.221503	31.803719	19.98352	31.818562	1.501511	31.833406	11.719108	31.84825	20.142216	31.863094	12.964263	31.877938	13.086337	31.892781	4.846339	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
31.908	26.221503	31.922859	19.959105	31.937719	1.477096	31.952578	11.719108	31.967437	20.117801	31.982297	12.964263	31.997156	13.098544	32.012016	4.846339	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
32.027375	26.209296	32.042187	19.946898	32.057	1.489303	32.071813	11.816767	32.086625	20.130009	32.101437	12.964263	32.11625	13.098544	32.131062	4.834132	0.170904	0.183111	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
32.14625	26.172674	32.161078	19.959105	32.175906	1.489303	32.190734	11.816767	32.205562	20.117801	32.220391	12.964263	32.235219	13.110752	32.250047	4.834132	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
32.26525	26.197089	32.280094	19.946898	32.294938	1.489303	32.309781	11.743522	32.324625	20.130009	32.339469	12.952055	32.354312	13.074129	32.369156	4.834132	0.170904	0.183111	0.134281	0.122074	0.207526	0.219733	0.207526	0.195318	31.1
32.3845	26.197089	32.399328	19.959105	32.414156	1.489303	32.428984	11.719108	32.443812	20.142216	32.458641	12.952055	32.473469	13.061922	32.488297	4.834132	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
32.503625	26.197089	32.518437	19.971313	32.53325	1.489303	32.548063	11.719108	32.562875	20.130009	32.577687	12.952055	32.5925	13.074129	32.607312	4.846339	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
32.6225	26.209296	32.637328	19.971313	32.652156	1.477096	32.666984	11.719108	32.681812	20.117801	32.696641	12.964263	32.711469	13.098544	32.726297	4.834132	0.170904	0.170904	0.134281	0.134281	0.219733	0.219733	0.195318	0.207526	31.1
32.741625	26.221503	32.756453	19.98352	32.771281	1.477096	32.786109	11.694693	32.800938	20.130009	32.815766	12.97647	32.830594	13.074129	32.845422	4.858547	0.170904	0.170904	0.146489	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
32.860625	26.197089	32.875469	19.995727	32.890313	1.489303	32.905156	11.682485	32.92	20.26429	32.934844	13.013092	32.949687	13.074129	32.964531	4.834132	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
32.97975	26.209296	32.994578	20.03235	33.009406	1.477096	33.024234	11.694693	33.039062	20.300913	33.053891	13.0253	33.068719	13.074129	33.083547	4.846339	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
33.098875	26.245918	33.113687	20.007935	33.1285	1.489303	33.143313	11.682485	33.158125	20.178838	33.172937	13.013092	33.18775	13.074129	33.202562	4.846339	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
33.217875	26.233711	33.232703	20.007935	33.247531	1.489303	33.262359	11.694693	33.277187	20.142216	33.292016	12.97647	33.306844	13.098544	33.321672	4.846339	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
33.337	26.270333	33.351813	20.020142	33.366625	1.489303	33.381438	11.682485	33.39625	20.117801	33.411062	12.97647	33.425875	13.074129	33.440688	4.846339	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
33.456	26.28254	33.470828	20.044557	33.485656	1.501511	33.500484	11.694693	33.515313	20.130009	33.530141	12.97647	33.544969	13.086337	33.559797	4.846339	0.170904	0.183111	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
33.575125	26.294748	33.589953	20.056764	33.604781	1.489303	33.619609	11.7069	33.634438	20.117801	33.649266	12.97647	33.664094	13.122959	33.678922	4.846339	0.170904	0.170904	0.122074	0.146489	0.219733	0.207526	0.195318	0.195318	31.1
33.694125	26.270333	33.708953	20.020142	33.723781	1.477096	33.738609	11.7069	33.753438	20.105594	33.768266	12.952055	33.783094	13.147374	33.797922	4.846339	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
33.813125	26.245918	33.827953	20.068972	33.842781	1.489303	33.857609	11.7069	33.872438	20.081179	33.887266	12.952055	33.902094	13.208411	33.916922	4.858547	0.183111	0.183111	0.134281	0.134281	0.219733	0.219733	0.195318	0.207526	31.1
33.93225	26.258126	33.947078	20.03235	33.961906	1.477096	33.976734	11.7069	33.991563	20.093387	34.006391	12.964263	34.021219	13.147374	34.036047	4.834132	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
34.051375	26.221503	34.066203	19.98352	34.081031	1.477096	34.095859	11.719108	34.110687	20.117801	34.125516	12.964263	34.140344	13.110752	34.155172	4.846339	0.183111	0.170904	0.134281	0.122074	0.219733	0.207526	0.195318	0.195318	31.1
34.170375	26.197089	34.185203	19.98352	34.200031	1.489303	34.214859	11.719108	34.229687	20.117801	34.244516	12.964263	34.259344	13.098544	34.274172	4.846339	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
34.2895	26.184881	34.304328	19.971313	34.319156	1.477096	34.333984	11.719108	34.348812	20.105594	34.363641	12.964263	34.378469	13.086337	34.393297	4.846339	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
34.4085	26.172674	34.423328	19.971313	34.438156	1.489303	34.452984	11.75573	34.467812	20.117801	34.482641	12.952055	34.497469	13.086337	34.512297	4.846339	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
34.527625	26.184881	34.542453	19.98352	34.557281	1.489303	34.572109	11.7069	34.586938	20.142216	34.601766	12.964263	34.616594	13.086337	34.631422	4.846339	0.183111	0.170904	0.122074	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
34.64675	26.197089	34.661578	19.98352	34.676406	1.477096	34.691234	11.7069	34.706063	20.105594	34.720891	12.988678	34.735719	13.098544	34.750547	4.834132	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
34.76575	26.184881	34.780594	19.995727	34.795437	1.489303	34.810281	11.7069	34.825125	20.142216	34.839969	12.952055	34.854813	13.110752	34.869656	4.846339	0.170904	0.170904	0.134281	0.134281	0.195318	0.207526	0.195318	0.195318	31.1
34.884875	26.197089	34.899703	20.020142	34.914531	1.489303	34.929359	11.7069	34.944187	20.191046	34.959016	13.000885	34.973844	13.061922	34.988672	4.846339	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
