# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
3.69075	1.379437	3.705609	3.515732	3.720469	0.671407	3.735328	1.59917	3.750188	2.038636	3.765047	0.842311	3.779906	1.3184	3.794766	1.733451	0.170904	0.170904	0.134281	0.122074	0.207526	0.207526	0.195318	0.207526	31.1
3.81	1.403851	3.824828	3.515732	3.839656	0.695822	3.854484	1.586962	3.869312	2.038636	3.884141	0.854518	3.898969	1.293985	3.913797	1.733451	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
3.929125	1.391644	3.943953	3.52794	3.958781	0.671407	3.973609	1.59917	3.988437	2.063051	4.003266	0.854518	4.018094	1.306192	4.032922	1.721244	0.183111	0.170904	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
4.048125	1.379437	4.062953	3.515732	4.077781	0.671407	4.092609	1.59917	4.107437	2.050844	4.122266	0.854518	4.137094	1.306192	4.151922	1.745659	0.170904	0.183111	0.134281	0.122074	0.207526	0.219733	0.207526	0.207526	31.1
4.167125	1.403851	4.181953	3.515732	4.196781	0.6592	4.211609	1.586962	4.226438	2.063051	4.241266	0.842311	4.256094	1.306192	4.270922	1.721244	0.170904	0.170904	0.146489	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
4.28625	1.391644	4.301078	3.503525	4.315906	0.671407	4.330734	1.586962	4.345562	2.063051	4.360391	0.854518	4.375219	1.3184	4.390047	1.745659	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
4.405375	1.403851	4.420187	3.515732	4.435	0.6592	4.449813	1.611377	4.464625	2.050844	4.479438	0.842311	4.49425	1.306192	4.509063	1.733451	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
4.524375	1.379437	4.539187	3.515732	4.554	0.671407	4.568812	1.59917	4.583625	2.087466	4.598438	0.854518	4.61325	1.293985	4.628063	1.745659	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
4.64325	1.391644	4.658078	3.515732	4.672906	0.671407	4.687734	1.59917	4.702562	2.063051	4.717391	0.842311	4.732219	1.293985	4.747047	1.745659	0.183111	0.183111	0.122074	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
4.76225	1.367229	4.777078	3.52794	4.791906	0.6592	4.806734	1.59917	4.821562	2.087466	4.836391	0.854518	4.851219	1.293985	4.866047	1.721244	0.183111	0.170904	0.122074	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
